epoch,sample,loss,lr,seconds
0,20,4.4619,0.00049803,5.6
1,20,0.5211,0.00049215,9.8
2,20,0.3159,0.00048244,13.9
3,20,0.2866,0.00046908,18.1
4,20,0.2183,0.00045225,22.3
5,20,0.1997,0.00043224,26.5
6,20,0.1835,0.00040936,30.7
7,20,0.1668,0.00038396,34.9
8,20,0.1527,0.00035644,39.0
9,20,0.1813,0.00032725,43.2
10,20,0.1005,0.00029685,47.4
11,20,0.1041,0.0002657,51.6
12,20,0.1153,0.0002343,55.8
13,20,0.064,0.00020315,60.0
14,20,0.0479,0.00017275,64.2
15,20,0.0342,0.00014356,68.4
16,20,0.0217,0.00011604,72.6
17,20,0.024,9.064e-05,76.8
18,20,0.0175,6.776e-05,80.9
19,20,0.0262,4.775e-05,85.1
20,20,0.0113,3.092e-05,89.3
21,20,0.0144,1.756e-05,93.5
22,20,0.0143,7.85e-06,97.7
23,20,0.0207,1.97e-06,101.9
24,20,0.0125,0.0,106.1
