epoch,sample,loss,lr,seconds
0,50,5.2907,0.00019998,12.2
0,100,2.1734,0.00019992,22.9
0,150,0.4771,0.00019981,33.5
0,200,0.4372,0.00019964,44.1
0,250,0.2662,0.00019944,54.7
0,300,0.2582,0.0001992,65.3
0,350,0.3102,0.00019892,75.9
0,400,0.2691,0.00019855,86.7
0,450,0.2567,0.00019818,97.4
0,500,0.2444,0.00019777,107.9
0,550,0.2578,0.00019732,118.4
0,600,0.243,0.00019674,129.0
0,650,0.2333,0.0001962,139.6
0,700,0.2416,0.00019562,150.3
0,750,0.2473,0.000195,161.0
0,800,0.2534,0.00019423,171.6
0,850,0.2525,0.00019352,182.2
0,900,0.259,0.00019278,192.8
0,950,0.2338,0.00019199,203.4
0,1000,0.2279,0.00019103,213.9
0,1050,0.2387,0.00019016,224.5
0,1100,0.2322,0.00018926,235.1
0,1150,0.2309,0.00018831,245.8
0,1200,0.2425,0.00018717,256.5
0,1250,0.2269,0.00018614,267.2
0,1300,0.2451,0.00018509,277.8
0,1350,0.2306,0.00018399,288.4
0,1400,0.2155,0.00018267,298.9
0,1450,0.2422,0.0001815,309.5
0,1500,0.2454,0.0001803,320.1
0,1550,0.2278,0.00017906,330.7
0,1600,0.2258,0.00017757,341.3
0,1650,0.2206,0.00017626,352.0
0,1700,0.2549,0.00017492,362.8
0,1750,0.2233,0.00017355,373.5
0,1800,0.2383,0.00017191,384.1
0,1850,0.229,0.00017047,394.7
0,1900,0.2255,0.000169,405.2
0,1950,0.2197,0.0001675,415.8
0,2000,0.2389,0.00016572,426.4
0,2050,0.2158,0.00016416,436.9
0,2100,0.2175,0.00016258,447.9
0,2150,0.2223,0.00016097,458.4
0,2200,0.223,0.00015905,468.9
0,2250,0.212,0.00015739,479.4
0,2300,0.2152,0.0001557,489.9
0,2350,0.2157,0.00015399,500.4
0,2400,0.231,0.00015196,511.0
0,2450,0.2052,0.0001502,521.5
0,2500,0.2225,0.00014841,532.1
0,2550,0.2002,0.00014661,542.6
0,2600,0.2342,0.00014448,553.3
0,2650,0.2187,0.00014264,563.8
0,2700,0.2059,0.00014078,574.3
0,2750,0.2258,0.0001389,584.8
0,2800,0.2082,0.00013669,595.3
0,2850,0.201,0.00013477,605.8
0,2900,0.2139,0.00013284,616.5
0,2950,0.1968,0.0001309,627.1
0,3000,0.2076,0.00012862,637.6
0,3050,0.1893,0.00012665,648.2
0,3100,0.1907,0.00012467,658.7
0,3150,0.2303,0.00012268,669.1
0,3200,0.2231,0.00012035,679.6
0,3250,0.2213,0.00011834,690.2
0,3300,0.1702,0.00011632,700.7
0,3350,0.2045,0.00011429,711.3
0,3400,0.1927,0.00011192,722.1
